FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13151,GA,Henry,25,26,4,0.125236697,0.121569746,-2.928016683,6,6,0,0.0300568,0.0280546,-6.661554503,100,119,19,0.500946789,0.556415376,11.07275014,1,3,200,0.00500947,0.0140273,180.0153365,146.9166667,163.9166667,11.57118548,0.702772343,0.739135794,5.174285911,24,25,4.166667,0.1259651,0.1195869,-5.063446
13153,GA,Houston,21,14,-33.33333333,0.152820632,0.093889787,-38.56210027,3,3,0,0.0218315,0.0201192,-7.843150405,78,117,50,0.567619491,0.784650361,38.23527439,2,4,100,0.0145543,0.0268257,84.31369919,131.25,157.75,20.19047619,0.898135983,1.036996621,15.46098151,22,24,9.090909,0.164831,0.1642306,-0.3642865
13155,GA,Irwin,1,1,0,0.104865772,0.109841828,4.74516696,0,0,0,0,0,0,6,7,16.66666667,0.629194631,0.768892794,22.20269479,0,0,0,0,0,0,10.08333333,9,-10.74380165,1.050347222,0.955211208,-9.05757757,1,1,0,0.0970591,0.1041667,7.322915
13157,GA,Jackson,10,6,-40,0.166522347,0.096977534,-41.76305156,0,0,0,0,0,0,34,40,17.64705882,0.566175981,0.64651689,14.19009498,0,1,,0,0.0161629,,52,62.5,20.19230769,0.85849664,0.967267662,12.66994149,11,11,0,0.1767807,0.1816051,2.729023
13159,GA,Jasper,2,3,50,0.144487791,0.22334723,54.57861823,0,0,0,0,0,0,8,5,-37.5,0.577951163,0.372245384,-35.59224241,0,0,0,0,0,0,9.25,9.666666667,4.504504505,0.678650037,0.707973243,4.320814149,3,4,33.33333,0.2163098,0.2934703,35.67132
13161,GA,Jeff Davis,6,4,-33.33333333,0.402900886,0.26919712,-33.18527492,1,1,0,0.067150148,0.06729928,0.222087624,10,13,30,0.671501477,0.874890639,30.28871391,0,0,0,0,0,0,23,21.91666667,-4.710144928,1.517550805,1.47319128,-2.923099854,6,3,-50,0.445699,0.1979414,-55.58855
13163,GA,Jefferson,7,6,-14.28571429,0.410148239,0.368731563,-10.09797724,0,0,0,0,0,0,16,19,18.75,0.93748169,1.167649951,24.55176069,0,0,0,0,0,0,28.25,25.58333333,-9.439528024,1.719206426,1.607397168,-6.503538859,6,7,16.66667,0.365653,0.4259981,16.50338
13165,GA,Jenkins,1,1,0,0.119918455,0.109589041,-8.61369863,0,0,0,0,0,0,6,6,0,0.719510733,0.657534247,-8.61369863,0,0,0,0,0,0,11.08333333,13.58333333,22.55639098,1.203010239,1.535013373,27.59769805,2,1,-50,0.2360718,0.1085423,-54.0215
13167,GA,Johnson,1,2,100,0.1001001,0.206164313,105.9581486,0,0,0,0,0,0,3,4,33.33333333,0.3003003,0.412328626,37.30543243,1,0,-100,0.1001001,0,-100,11.41666667,12,5.109489051,1.153548213,1.262493425,9.444356985,2,2,0,0.2119767,0.2020814,-4.668085
13169,GA,Jones,1,2,100,0.0348311,0.069475805,99.4650363,0,0,0,0,0,0,10,13,30,0.348310693,0.451592733,29.6522736,0,2,,0,0.069475805,,22.08333333,20.33333333,-7.924528302,0.772765977,0.710384423,-8.072502718,3,3,0,0.1083658,0.1049795,-3.124888
13171,GA,Lamar,3,4,33.33333333,0.164536829,0.219695721,33.52373629,0,0,0,0,0,0,11,10,-9.090909091,0.603301706,0.549239304,-8.961088892,1,1,0,0.0548456,0.0549239,0.142802219,18,18.25,1.388888889,0.996843329,0.988142292,-0.872859025,5,4,-20,0.2879687,0.2215208,-23.0747
13173,GA,Lanier,1,1,0,0.101936799,0.096404126,-5.427552299,0,1,,0,0.096404126,,4,5,25,0.407747197,0.48202063,18.21555963,1,1,0,0.101936799,0.096404126,-5.427552299,13.08333333,12.58333333,-3.821656051,1.258012821,1.210052249,-3.812407244,1,1,0,0.1201923,0.0961538,-20
13175,GA,Laurens,12,9,-25,0.2469085,0.188083844,-23.82447598,1,1,0,0.0205757,0.0208982,1.567365363,41,50,21.95121951,0.843604041,1.044910242,23.86264069,5,3,-40,0.102878542,0.062694615,-39.05958078,78,80.16666667,2.777777778,1.623613164,1.687150995,3.913360178,12,12,0,0.2500729,0.2497866,-0.1144791
13177,GA,Lee,3,6,100,0.105909765,0.205542804,94.07351581,0,0,0,0,0,0,17,16,-5.882352941,0.600155334,0.548114145,-8.671286678,0,1,,0,0.0342571,,21.08333333,30.33333333,43.87351779,0.733435377,1.033961664,40.97515568,4,6,50,0.1183292,0.2087247,76.39324
13179,GA,Liberty,7,6,-14.28571429,0.104382577,0.092027363,-11.83647176,1,1,0,0.0149118,0.0153379,2.857449615,50,48,-4,0.745589836,0.736218902,-1.25684837,4,5,25,0.0596472,0.076689469,28.57181202,62.5,70.25,12.4,0.95462113,1.122742528,17.61132172,7,8,14.28571,0.118904,0.1221915,2.764798
13181,GA,Lincoln,1,1,0,0.123869689,0.13119916,5.917082131,0,0,0,0,0,0,6,6,0,0.743218135,0.787194962,5.917082131,0,0,0,0,0,0,6,7,16.66666667,0.775494378,0.894225856,15.31042412,1,1,0,0.1249531,0.1292491,3.438033
13183,GA,Long,2,1,-50,0.145064191,0.0584351,-59.71775843,0,0,0,0,0,0,7,5,-28.57142857,0.507724668,0.292175539,-42.45394061,0,1,,0,0.0584351,,9.666666667,8,-17.24137931,0.602359588,0.433910072,-27.96494306,1,1,0,0.0876194,0.0623131,-28.8821
13185,GA,Lowndes,12,13,8.333333333,0.111541786,0.114514239,2.664878483,3,3,0,0.0278854,0.0264264,-5.232419862,85,89,4.705882353,0.790087653,0.783982101,-0.772769032,11,9,-18.18181818,0.102246637,0.079279089,-22.46288898,120.4166667,133.6666667,11.00346021,1.051196545,1.166090891,10.92986333,18,17,-5.555555,0.171946,0.1484042,-13.69141
13187,GA,Lumpkin,2,3,50,0.067287959,0.096227868,43.00904542,1,1,0,0.033644,0.032076,-4.660636387,16,14,-12.5,0.538303671,0.449063382,-16.57805684,1,2,100,0.033644,0.064151912,90.67872723,19.41666667,21,8.154506438,0.634303573,0.667832724,5.285978584,4,4,0,0.1470859,0.130672,-11.15939
13189,GA,McDuffie,4,4,0,0.183183733,0.187178287,2.180627047,1,1,0,0.0457959,0.0467946,2.180627047,14,23,64.28571429,0.641143066,1.076275152,67.86817301,2,2,0,0.091591867,0.093589144,2.180627047,26.41666667,28.58333333,8.201892744,1.219437136,1.330076004,9.072945674,5,5,0,0.2295579,0.2308083,0.5447062
